Dish,Meal,Day
0,"Assorted 8oz Milk; Whole, 1%, Chocolate",Brunch,2021-08-05
1,"Assorted Almond Milk, 10oz",Brunch,2021-08-05
2,Assorted Gatorade,Brunch,2021-08-05
3,Assorted Kellogg Cereal Cup,Brunch,2021-08-05
4,Assorted PC Soy Milk,Brunch,2021-08-05
5,Assorted PC Yogurts,Brunch,2021-08-05
6,Chocolate Sunflower Chia Seed Pudding,Brunch,2021-08-05
7,Orange-Creamsicle Granola Parfait,Brunch,2021-08-05
8,Strawberry Raspberry Coconut Smoothie,Brunch,2021-08-05
9,VG Apple Cucumber Pineapple Juice,Brunch,2021-08-05
10,VG Oatmeal Raisin Overnight Oats,Brunch,2021-08-05
11,"Bacon, Egg& Cheese English Muffin",Brunch,2021-08-05
12,Egg& Cheese Muffin,Brunch,2021-08-05
13,"Sausage, Egg& Cheese on English Muffin",Brunch,2021-08-05
14,Fried Hash Browns,Brunch,2021-08-05
15,Assorted Bagels,Brunch,2021-08-05
16,Cooling Cucumber Soup (V),Brunch,2021-08-05
17,VG Fire Roasted Tomato & Basil Soup,Brunch,2021-08-05
18,Turkey Cuban,Brunch,2021-08-05
19,"VG Shitake Tempeh ""Bacon"" Wrap",Brunch,2021-08-05
20,Rotini w/Chicken & Burgundy Wine,Brunch,2021-08-05
21,VG Organic Brown Basmati Rice,Brunch,2021-08-05
22,VG Tuscan Kale & White Bean Ragout,Brunch,2021-08-05
23,Beer Battered Fish and Chips w. Local Pollock,Brunch,2021-08-05
24,Beer Battered Local Pollock Fish Sandwich on Potato Roll,Brunch,2021-08-05
25,Cheeseburger on Potato Roll,Brunch,2021-08-05
26,Hamburger on Potato Roll,Brunch,2021-08-05
27,Lemon Pepper Chicken Sandwich on Potato Roll,Brunch,2021-08-05
28,Two Hot Dogs w. Buns,Brunch,2021-08-05
29,VG Mediterranean Quinoa Burger on a Potato Roll,Brunch,2021-08-05
30,Roasted Fresh Asparagus Spears,Brunch,2021-08-05
31,Breaded Chicken Tenders,Brunch,2021-08-05
32,Fresh Mixed Berries,Brunch,2021-08-05
33,Greek Style Pasta Salad,Brunch,2021-08-05
34,Shoestring Fries,Brunch,2021-08-05
35,Garden Salad,Brunch,2021-08-05
36,Greek Salad,Brunch,2021-08-05
37,Mediterranean Grain Bowl,Brunch,2021-08-05
38,Chocolate Chunk Cookie,Brunch,2021-08-05
0,Cooling Cucumber Soup (V),Dinner,2021-08-05
1,VG Fire Roasted Tomato & Basil Soup,Dinner,2021-08-05
2,Turkey Cuban,Dinner,2021-08-05
3,"VG Shitake Tempeh ""Bacon"" Wrap",Dinner,2021-08-05
4,Lemon Grilled Rosemary Chicken,Dinner,2021-08-05
5,Red Roasted Potatoes,Dinner,2021-08-05
6,VG Seared Tofu w/Tomato Relish,Dinner,2021-08-05
7,Beer Battered Fish and Chips w. Local Pollock,Dinner,2021-08-05
8,Beer Battered Local Pollock Fish Sandwich on Potato Roll,Dinner,2021-08-05
9,Cheeseburger on Potato Roll,Dinner,2021-08-05
10,Hamburger on Potato Roll,Dinner,2021-08-05
11,Lemon Pepper Chicken Sandwich on Potato Roll,Dinner,2021-08-05
12,Two Hot Dogs w. Buns,Dinner,2021-08-05
13,VG Mediterranean Quinoa Burger on a Potato Roll,Dinner,2021-08-05
14,Roasted Fresh Asparagus Spears,Dinner,2021-08-05
15,Breaded Chicken Tenders,Dinner,2021-08-05
16,Fresh Mixed Berries,Dinner,2021-08-05
17,Greek Style Pasta Salad,Dinner,2021-08-05
18,Shoestring Fries,Dinner,2021-08-05
19,Garden Salad,Dinner,2021-08-05
20,Greek Salad,Dinner,2021-08-05
21,Mediterranean Grain Bowl,Dinner,2021-08-05
22,White Chocolate Macademia Nut Cookie,Dinner,2021-08-05
